obdb_id,brewery_name,brewery_type,street,city,state,postal_code,website_url,longitude,latitude,brewery_id
,Brewery Bourgogne Des Flandres,,,,,,,,,292
brewery-ommegang-cooperstown,Brewery Ommegang,regional,656 County Highway 33,Cooperstown,New York,13326-4737,http://www.ommegang.com,-74.855063,42.753418,293
brewery-vivant-grand-rapids,Brewery Vivant,brewpub,925 Cherry St SE,Grand Rapids,Michigan,49506-1403,http://www.breweryvivant.com,-85.64683809,42.95961591,294
,Brewfist,,,,,,,,,295
,Brickway Brewery & Distillery,,,,,,,,,296
,Bridge Brew Works LLC,,,,,,,,,297
,Bridge Road Brewers,,,,,,,,,298
,Bristol Brewing Company,,,,,,,,,299
,Brooklyn Brewery,,,,,,,,,300
,Broughton Ales Ltd,,,,,,,,,301
,Brouwerij 't IJ,,,,,,,,,302
,Brouwerij 't Verzet,,,,,,,,,303
,Brouwerij 3 Fonteinen,,,,,,,,,304
,Brouwerij Alken-Maes,,,,,,,,,305
,Brouwerij Bockor N.V. / Brouwerij Omer Vander Ghinste,,,,,,,,,306
,Brouwerij Boon,,,,,,,,,307
,Brouwerij Bosteels,,,,,,,,,308
,Brouwerij Brasserie De Ranke,,,,,,,,,309
,Brouwerij Contreras,,,,,,,,,310
,Brouwerij Corsendonk,,,,,,,,,311
,Brouwerij De Dochter van de Korenaar,,,,,,,,,312
,Brouwerij De Dolle Brouwers,,,,,,,,,313
,Brouwerij De Koninck NV,,,,,,,,,314
,Brouwerij De Landtsheer NV,,,,,,,,,315
,Brouwerij De Moersleutel,,,,,,,,,316
,Brouwerij De Molen,,,,,,,,,317
,Brouwerij De Smedt / Brouwerij Affligem,,,,,,,,,318
,Brouwerij De Troch,,,,,,,,,319
,Brouwerij De Vlier,,,,,,,,,320
,Brouwerij Duvel Moortgat NV,,,,,,,,,321
,Brouwerij Girardin,,,,,,,,,322
,Brouwerij Haacht NV,,,,,,,,,323
,Brouwerij Het Anker,,,,,,,,,324
,Brouwerij Hof Ten Dormaal,,,,,,,,,325
,Brouwerij Huyghe,,,,,,,,,326
,Brouwerij Kerkom,,,,,,,,,327
,Brouwerij Kortrijk-Dutsel,,,,,,,,,328
,Brouwerij Liefmans,,,,,,,,,329
,Brouwerij Lindemans,,,,,,,,,330
,Brouwerij Martens NV,,,,,,,,,331
,Brouwerij Mort Subite,,,,,,,,,332
,Brouwerij Nacional Balashi,,,,,,,,,333
,Brouwerij Oud Beersel,,,,,,,,,334
,Brouwerij Palm NV,,,,,,,,,335
,Brouwerij Rodenbach N.V.,,,,,,,,,336
,Brouwerij Slaghmuylder,,,,,,,,,337
,Brouwerij Smisje,,,,,,,,,338
,Brouwerij St. Bernardus NV,,,,,,,,,339
,Brouwerij Sterkens N.V.,,,,,,,,,340
,Brouwerij Strubbe,,,,,,,,,341
,Brouwerij Timmermans-John Martin N.V.,,,,,,,,,342
,Brouwerij Van Honsebrouck N.V.,,,,,,,,,343
,Brouwerij Van Steenberge N.V.,,,,,,,,,344
,Brouwerij Van Viven,,,,,,,,,345
,Brouwerij Van den Bossche,,,,,,,,,346
,Brouwerij Verhaeghe,,,,,,,,,347
,Brouwerij West,,,,,,,,,348
,Brouwerij Westmalle,,,,,,,,,349
,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),,,,,,,,,350
,Brouwerij der St. Benedictusabdij de Achelse,,,,,,,,,351
,Brouwerij van Hoegaarden,,,,,,,,,352
,Browar Amber,,,,,,,,,353
,Browar Bazyliszek,,,,,,,,,354
,Browar Kormoran,,,,,,,,,355
,Browar Okocim S.A. (Carlsberg),,,,,,,,,356
,Browar Pinta,,,,,,,,,357
,Browar Van Pur S.A. (Brau Union Polska),,,,,,,,,358
,Browar w Grodzisku Wielkopolskim,,,,,,,,,359
,Browar Łomża Sp. z o.o.,,,,,,,,,360
,Browary Warka Sp. z o.o.,,,,,,,,,361
bruery-terreux-anaheim,Bruery Terreux,micro,1174 N Grove St,Anaheim,California,92806-2129,http://www.thebruery.com,-117.8418759,33.85793692,362
,Bruz Beers,,,,,,,,,363
,Budweiser Brewing Group UK&I,,,,,,,,,364
,"Budějovický Budvar, n.p.",,,,,,,,,365
,Buffalo Bill's Brewery,,,,,,,,,366
bullfrog-brewery-williamsport,Bullfrog Brewery,brewpub,229 W 4th St,Williamsport,Pennsylvania,17701-6112,http://www.bullfrogbrewery.com,-77.051529,41.2399548,367
,Bunker Brewing Co.,,,,,,,,,368
,Burial Beer Co.,,,,,,,,,369
,Burley Oak Brewing Co.,,,,,,,,,370
,Burlington Beer Co.,,,,,,,,,371
,Busted Sandal Brewing Company,,,,,,,,,372
,Butternuts Beer & Ale,,,,,,,,,373
,Buzzards Bay Brewing,,,,,,,,,374
,Bürgerbräu Bad Reichenhall,,,,,,,,,375
,COAST Brewing Company,,,,,,,,,376
,COHO Brewing Co.,,,,,,,,,377
coop-ale-works-oklahoma-city,COOP Ale Works,micro,4745 Council Heights Rd,Oklahoma City,Oklahoma,73179-4600,http://www.coopaleworks.com,-97.65776203,35.4185472,378
,Café-Brouwerij Loterbol,,,,,,,,,379
,"Cairngorm Brewery Company, The",,,,,,,,,380
,Calapooia Brewing Company,,,,,,,,,381
,Caldera Brewing Company,,,,,,,,,382
,Calfkiller Brewing Company,,,,,,,,,383
,Calicraft Brewing Co.,,,,,,,,,384
,Cambridge Brewing Company,,,,,,,,,385
,Cameron's Brewing Co.,,,,,,,,,386
,Camo Brewing Company,,,,,,,,,387
,Cannery Brewing Company,,,,,,,,,388
,Cape Ann Brewing Company,,,,,,,,,389
,Capital Brewery,,,,,,,,,390
,Captain Lawrence Brewing Co.,,,,,,,,,391
,Carib Brewery Limited,,,,,,,,,392
,Carlow Brewing Company,,,,,,,,,393
,Carlsberg Danmark A/S,,,,,,,,,394
,Carlsberg Sverige AB,,,,,,,,,395
,Carlsberg-Tetley Brewing Ltd,,,,,,,,,396
,Carolina Brewery,,,,,,,,,397
,Carson's Brewery,,,,,,,,,398
,Carton Brewing Company,,,,,,,,,399
,Cascade Brewery Company Ltd.,,,,,,,,,400
,Cascade Brewing / Raccoon Lodge & Brewpub,,,,,,,,,401
,Casco Bay Brewing Co.,,,,,,,,,402
,Casey Brewing & Blending,,,,,,,,,403
castle-danger-brewery-two-harbors,Castle Danger Brewery,micro,17 7th St,Two Harbors,Minnesota,55616-1672,http://www.castledangerbrewery.com,-91.6731853,47.0194124,404
,Castle Eden & Camerons Brewing Company Ltd,,,,,,,,,405
,Catawba Brewing Co.,,,,,,,,,406
cathedral-square-brewery-saint-louis,Cathedral Square Brewery,closed,3914 Lindell Blvd,Saint Louis,Missouri,63108-3204,http://www.cathedralsquarebrewery.com,-90.2439837,38.6394897,407
,Cedar Creek Brewery,,,,,,,,,408
,Cellarmaker Brewing Co.,,,,,,,,,409
,Central City Brewers + Distillers,,,,,,,,,410
,Central Waters Brewing Co.,,,,,,,,,411
,Ceres Brewery (Royal Unibrew),,,,,,,,,412
,Cerveceria Azteca,,,,,,,,,413
,Cerveceria Costa Rica,,,,,,,,,414
,Cerveceria Mexicana S.A. De C.V.,,,,,,,,,415
,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",,,,,,,,,416
,Cervecería Minerva,,,,,,,,,417
,Cervecería Nacional Dominicana,,,,,,,,,418
,Cervecería Vegana S.A.,,,,,,,,,419
,Cervecería y Maltería Quilmes / Grupo Bemberg,,,,,,,,,420
,Cervejaria Kaiser,,,,,,,,,421
,Cervejaria Sudbrack Ltda,,,,,,,,,422
,Cervejaria Wäls,,,,,,,,,423
,"Cervezas Moritz, S.A.",,,,,,,,,424
,Ceylon / Lion Brewery Limited,,,,,,,,,425
champion-brewing-company-charlottesville,Champion Brewing Company,micro,324 6th St SE,Charlottesville,Virginia,22902-5655,http://www.championbrewingcompany.com,-78.4784691,38.0277402,426
,Charleville Vineyard Microbrewery,,,,,,,,,427
,Cheboygan Brewing Company,,,,,,,,,428
,Choc Beer Co. / Pete's Place,,,,,,,,,429
,Christian Moerlein Brewing Company,,,,,,,,,430
,Church Brew Works,,,,,,,,,431
,Church Street Brewing Company,,,,,,,,,432
,Cigar City Brewing,,,,,,,,,433
cinder-block-brewery-north-kansas-city,Cinder Block Brewery,brewpub,110 E 18th Ave,North Kansas City,Missouri,64116-3635,http://www.cinderblockbrewery.com,-94.57946521,39.14033716,434
,Cisco Brewers Inc.,,,,,,,,,435
,Cismontane Brewing Company,,,,,,,,,436
,"City Brewing Company, LLC",,,,,,,,,437
,City Steam Brewery Café,,,,,,,,,438
